modality,category,price_preference,latency_preference,accuracy_preference,anthropic/claude-2:price,anthropic/claude-2:latency,anthropic/claude-2:judge_win_rate,anthropic/claude-2:human_win_rate,openai/gpt-3.5-turbo-1106:price,openai/gpt-3.5-turbo-1106:latency,openai/gpt-3.5-turbo-1106:judge_win_rate,openai/gpt-3.5-turbo-1106:human_win_rate,openai/gpt-4-1106-preview:price,openai/gpt-4-1106-preview:latency,openai/gpt-4-1106-preview:judge_win_rate,openai/gpt-4-1106-preview:human_win_rate,mistralai/mistral-7b-instruct:price,mistralai/mistral-7b-instruct:latency,mistralai/mistral-7b-instruct:judge_win_rate,mistralai/mistral-7b-instruct:human_win_rate,mistralai/mixtral-8x7b-instruct:price,mistralai/mixtral-8x7b-instruct:latency,mistralai/mixtral-8x7b-instruct:judge_win_rate,mistralai/mixtral-8x7b-instruct:human_win_rate,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35
audio,content enhancement,3.75,3.25,4.75,2.649124371,7.515777512,0.051126119,0.052187139,0.242913466,2.771144827,0.01155456,0.066147182,2.476367963,7.79287247,0.913141621,0.928514076,0.283374598,2.819572266,0.010413123,0,0.247731539,3.055589211,0,0,,,,,,,
audio,content moderation,3.2,3.4,4.2,1.83118821,9.841821549,0,0.039616134,0.27088632,2.828668635,0.041096991,0.014782184,2.123815293,11.7499573,0.852599985,0.800365628,0.311136665,1.714824528,0,0,0.251376073,3.446316534,0,0.00126484,,,,,,,
audio,question answering,4,3.4,4.8,2.960707441,8.614763151,0.086918432,0.003721493,0.290893378,2.189659392,0.069557712,0.038382033,2.249847655,11.69484901,0.878314802,0.775429302,0.177741399,2.162912534,0.053397876,0,0.309980925,2.197069433,0,0.024989425,,,,,,,
audio,sentiment analysis,3.074074074,3.111111111,4.944444444,2.444024258,9.555824297,0.030264094,0.035359076,0.248239021,2.50914975,0.032839156,0.017682561,2.588523402,9.443964815,0.853611141,0.843678534,0.227555636,2.525492937,0.029436649,0.040366046,0.244214471,2.777507789,0.02664227,0.028182721,,,,,,,
audio,speech recognition,3.977272727,3.090909091,4.818181818,2.36576863,8.801775564,0.024901633,0.024732184,0.257252168,2.906376056,0.041933582,0.033163453,2.48147832,10.30189743,0.864951596,0.863904258,0.252710028,2.906008792,0.025453053,0.022391996,0.25195219,2.617356358,0.027657022,0.028252164,,,,,,,
audio,summarization,3.133333333,3.733333333,5,2.199569273,9.489285001,0.036258841,0.064643023,0.280217616,2.944109732,0.046125312,0.035271615,2.941515132,9.989300115,0.854285302,0.834918597,0.228234091,2.27223215,0.03702089,0.022008191,0.233032675,2.594635878,0.031757019,0.041331425,,,,,,,
audio,transcription,3.990384615,3.009615385,5,2.588765963,10.02668919,0.042819781,0.027732961,0.25242043,2.447966205,0.015964398,0.034979748,2.571226011,9.371861559,0.856788761,0.85515207,0.246010691,2.596418444,0.037159631,0.035442968,0.248583521,2.62709965,0.027918689,0.021612199,,,,,,,
audio,translation,3.977272727,4.977272727,4.977272727,2.478499952,9.753381586,0.035204071,0.034772771,0.262299239,2.464522138,0.029656402,0.01993916,2.525544227,9.99238587,0.865477251,0.845056198,0.250255409,2.487205676,0.036579359,0.01710557,0.21948271,2.555337796,0.016249787,0.020338975,,,,,,,
audio,voice generation,3.918918919,2.972972973,4.783783784,2.50624059,10.21229883,0.015010454,0.034957912,0.24677111,2.684906499,0.04250733,0.034305559,2.501302266,10.46655807,0.86400812,0.824466283,0.255274624,2.431497115,0.036831727,0.018778967,0.238858606,2.336713974,0.015859744,0.015911222,,,,,,,
image,captioning,4.1,2.2,4.2,2.911839754,8.986416866,0,0.019851352,0.298406961,2.981626475,0.060135213,0.08361805,2.27833874,9.329159194,0.846127418,0.819003484,0.275951175,2.564548677,0.018821837,0.039160528,0.301383735,2.886719063,0,0,,,,,,,
image,content analysis,3.857142857,3.142857143,5,2.740621147,9.187689784,0.044435678,0,0.247161632,2.431975841,0.041549464,0.028142441,2.766429486,11.07157803,0.848368978,0.786693633,0.277218648,3.393781441,0,0.053001943,0.255394688,2.755601312,0.003598102,0.007540356,,,,,,,
image,content enhancement,3.333333333,3.333333333,4.333333333,2.738259985,7.813429599,0.060514479,0.062894014,0.250209355,2.435418717,0,0,2.979654799,12.21749852,0.809228739,0.817895537,0.173730534,0.922010353,0.072522316,0.005318534,0.333546585,2.130358963,0.071703592,0,,,,,,,
image,content moderation,3.428571429,3.428571429,4.714285714,2.566237187,8.726663504,0.032942649,0.057431323,0.246188441,2.065193115,0.01362861,0.014878678,2.895906022,8.887089644,0.823868256,0.858836972,0.219852696,2.2297566,0.01439974,0.046195832,0.212275659,2.407710482,0.022651264,0.052491445,,,,,,,
image,sentiment analysis,5,2,4,2.777336322,5.409167261,0.170462502,0,0.244504697,0.801216887,0,0.016751466,3.461035045,7.945086496,0.839388121,0.755184225,0.340897605,3.630929166,0,0.263797027,0.309141944,3.714973223,0,0,,,,,,,
image,visual description,3.720930233,2.813953488,4.465116279,2.398207964,9.454564255,0.050281785,0.028335765,0.242008015,2.569353151,0.007723608,0.021337968,2.140938669,10.3030073,0.869596166,0.877019161,0.257455968,2.495516415,0.047008976,0.020856445,0.257502794,2.33681276,0.052541258,0.026026222,,,,,,,
text,captioning,3,3.333333333,4.333333333,1.226802147,5.109377927,0.59728624,0.666625652,0.132746472,1.43645261,0.449780555,0.463721462,1.162605522,5.91318139,0.886355406,0.85945402,0.119750635,1.86346931,0.404392283,0.519703052,0.131268904,1.62993776,0.50229149,0.380635064,,,,,,,
text,content analysis,3.8,3.2,5,1.245214354,8.064685363,0.517102063,0.580707745,0.151531032,1.278023589,0.426369021,0.404485799,1.116073686,7.001149728,0.849252178,0.846371536,0.14031685,2.181953358,0.515074101,0.470307793,0.126055757,1.997100092,0.454691627,0.452577415,,,,,,,
text,content enhancement,3.538461538,3.076923077,4.692307692,1.228271125,5.571361652,0.556289358,0.548216634,0.132142726,1.733292803,0.445048258,0.504816851,1.44586176,7.448749932,0.85506643,0.866333801,0.137341736,2.084675884,0.426073369,0.458369197,0.142135996,1.708830329,0.46094262,0.470511342,,,,,,,
text,content moderation,3.285714286,3.428571429,4.571428571,1.28204514,8.28858441,0.529385959,0.50531194,0.168197729,1.818522468,0.475570571,0.446488869,1.109730435,6.203814596,0.865794384,0.884398445,0.139071133,1.659819677,0.394764151,0.485745071,0.12491591,2.008807091,0.483422369,0.419218808,,,,,,,
text,question answering,3.327586207,3.034482759,4.931034483,1.360409065,6.369890496,0.536245756,0.561285964,0.126385943,1.83672652,0.448935551,0.45314826,1.233460313,7.253409984,0.858107921,0.847856291,0.126627064,1.925941714,0.437815188,0.444117784,0.1273996,1.767391068,0.439438366,0.470438568,,,,,,,
text,sentiment analysis,3.333333333,3.333333333,4.888888889,1.458619317,6.289864119,0.505239641,0.513595512,0.125914112,1.918435553,0.436927325,0.408989482,1.186837304,6.918046766,0.830471743,0.861977619,0.134270615,1.843569744,0.502968452,0.43794038,0.13091597,1.786620782,0.461887868,0.49126612,,,,,,,
text,summarization,3.13740458,3.099236641,4.893129771,1.234230499,6.174054941,0.555964909,0.556252513,0.114636731,1.854317121,0.447621689,0.462766803,1.224879419,6.60888188,0.833905705,0.849596603,0.123705286,1.825924644,0.443139392,0.453313875,0.120786611,1.728751525,0.435434953,0.456042897,,,,,,,
text,text generation,2.968992248,2.031007752,4.984496124,1.262760814,6.286759339,0.539611999,0.563083212,0.119653876,1.74666532,0.447138036,0.45061732,1.221036631,6.161465183,0.849086755,0.845213,0.124221557,1.831044684,0.445735817,0.444485736,0.127169491,1.708344541,0.452782764,0.454395379,,,,,,,
text,translation,3.549019608,3.568627451,4.862745098,1.090886791,6.240097175,0.566488677,0.555688725,0.1315465,1.832964911,0.435783496,0.440600868,1.337433993,6.659585374,0.855371025,0.837679891,0.121823006,1.67864827,0.449254704,0.441251333,0.131934012,1.612658032,0.44624986,0.452800095,,,,,,,
text,visual description,5,2,4,1.464235532,6.20399836,0.671339128,0.430911139,0.106095539,0.858439178,0.574856144,0.521786889,0.982375911,7.307839742,0.770996614,0.871074437,0.167050737,1.921510534,0.376944158,0.53833236,0.194071963,1.822936133,0.504914969,0.326890363,,,,,,,
video,captioning,3.445652174,3.391304348,4.891304348,2.569010696,9.522988795,0.042318367,0.034663562,0.251959565,2.637763974,0.032474698,0.027666476,2.45944489,10.1591069,0.854128027,0.862168495,0.225173839,2.58232275,0.020168022,0.045119465,0.254357252,2.60745042,0.024943836,0.028272423,,,,,,,
video,content analysis,4.333333333,2.833333333,4.416666667,2.659921283,9.866953887,0.083261296,0.043847026,0.292476859,2.427814069,0.035851613,0.05562398,2.640422039,9.855891281,0.886304097,0.883631942,0.251759772,2.612149397,0,0.024188511,0.282653459,2.366896792,0.045105988,0.016570077,,,,,,,
video,content enhancement,3.75,3.25,4.5,2.774425714,9.756262654,0,0.059006399,0.300991376,2.833496478,0,0.052222116,2.927203978,10.50498043,0.844919129,0.864576339,0.266886415,2.262469733,0.089454944,0.016962932,0.244257732,2.308624143,0.059817448,0.009181848,,,,,,,
video,content moderation,3.636363636,3.181818182,4.727272727,2.499102628,9.440568913,0.023369671,0.068386114,0.265242016,2.613602118,0.033871096,0.059264686,2.558742286,9.655846646,0.876038054,0.899040476,0.232148939,2.316409855,0.030164129,0.056468688,0.29746038,2.973727549,0.022599867,0.020845967,,,,,,,
video,question answering,3.25,3.75,5,2.686645332,7.019328394,0,0,0.267779761,2.231614081,0,0,1.952740606,10.17611429,0.874180571,0.880663839,0.225281106,2.884258835,0.050081702,0,0.250371089,3.268714587,0.071182282,0.07286078,,,,,,,
video,sentiment analysis,4,3,5,2.964715906,6.461482931,0.199621438,0.112727804,0.262628953,3.208477317,0,0.22964955,1.402715257,8.027095374,0.997651514,0.722251789,0.359187108,1.505424306,0,0.096405692,0.229792744,3.723167002,0,0.140425218,,,,,,,
video,speech recognition,5,3,5,1.854665917,6.427410535,0,0,0.171839434,3.04324348,0,0,2.463872919,5.129782358,0.745348587,0.932218512,0.296250494,2.875002952,0.228242262,0,0.222127587,1.713773371,0,0,,,,,,,
video,summarization,3.301587302,3.793650794,4.873015873,2.45819183,9.874859094,0.042687977,0.035555347,0.258484645,2.555709769,0.014953275,0.017644459,2.497446482,9.982804102,0.852935143,0.871448117,0.232933633,2.611039646,0.021922193,0.03283745,0.247586328,2.649385245,0.022422192,0.029428006,,,,,,,
video,text generation,3,2,5,1.968869419,9.921153657,0,0,0.259406389,0.943806454,0.2178274,0,1.647463082,12.58493231,0.725604239,0.886867143,0.388794524,0.845065288,0,0,0.175072869,1.33663891,0,0,,,,,,,
video,translation,3.666666667,3,5,2.260807353,9.753675208,0.031223184,0.064364137,0.223089357,2.024660685,0.085614957,0.087030378,2.091642309,11.22610652,0.863868735,0.928717758,0.27448799,2.699646577,0,0.08896014,0.309773219,3.119527436,0,0,,,,,,,
video,visual description,3.5,3.166666667,4.833333333,2.395010944,10.55107808,0.007978862,0.011356318,0.216574496,3.347074497,0.02718951,0.035151431,2.61789454,8.602169758,0.87995172,0.824355749,0.26618066,3.127320618,0.023019044,0.085232017,0.232994034,2.267150601,0.016186212,0,,,,,,,
video,voice generation,4,3,5,2.723926212,12.82216518,0,0,0.380602684,3.423595558,0.020557796,0,3.146059638,10.88712494,0.90390276,0.811842997,0.121887959,1.717664603,0,0,0.269659563,3.759556138,0.282427702,0,,,,,,,
